'a' 	 at 11:12:03
's' 	 at 11:12:03
'd' 	 at 11:12:03
'f' 	 at 11:12:03
'g' 	 at 11:12:03
'h' 	 at 11:12:03
'j' 	 at 11:12:03
'k' 	 at 11:12:03
'g' 	 at 11:12:04
'f' 	 at 11:12:04
'd' 	 at 11:12:04
's' 	 at 11:12:04
'f' 	 at 11:12:04
'g' 	 at 11:12:04
'h' 	 at 11:12:04
'j' 	 at 11:12:04
'f' 	 at 11:12:04
'h' 	 at 11:12:04
'g' 	 at 11:12:04
'f' 	 at 11:12:04
Key.backspace 	 at 11:12:05
Key.backspace 	 at 11:12:06
Key.backspace 	 at 11:12:06
Key.backspace 	 at 11:12:06
Key.backspace 	 at 11:12:06
Key.backspace 	 at 11:12:06
Key.backspace 	 at 11:12:06
Key.backspace 	 at 11:12:06
Key.backspace 	 at 11:12:06
Key.backspace 	 at 11:12:06
Key.backspace 	 at 11:12:06
Key.backspace 	 at 11:12:06
Key.backspace 	 at 11:12:06
Key.backspace 	 at 11:12:06
Key.backspace 	 at 11:12:06
Key.backspace 	 at 11:12:06
Key.backspace 	 at 11:12:06
Key.backspace 	 at 11:12:06
Key.backspace 	 at 11:12:06
Key.backspace 	 at 11:12:06
Key.backspace 	 at 11:12:06
Key.backspace 	 at 11:12:06
'g' 	 at 11:12:16
'g' 	 at 11:12:17
'g' 	 at 11:12:18
Key.backspace 	 at 11:12:21
Key.backspace 	 at 11:12:22
Key.backspace 	 at 11:12:22
Key.ctrl_l 	 at 11:12:25
'\x13' 	 at 11:12:25
Key.ctrl_l 	 at 11:16:18
'\x03' 	 at 11:16:18
Key.esc 	 at 11:16:23
'd' 	 at 11:18:17
'1' 	 at 11:18:24
Key.space 	 at 11:18:25
Key.space 	 at 11:18:26
Key.space 	 at 11:18:26
Key.space 	 at 11:18:26
'2' 	 at 11:18:30
'3' 	 at 11:18:32
Key.space 	 at 11:18:36
Key.space 	 at 11:18:37
Key.space 	 at 11:18:37
'3' 	 at 11:18:37
'3' 	 at 11:18:37
Key.space 	 at 11:18:47
Key.space 	 at 11:18:47
Key.space 	 at 11:18:47
Key.space 	 at 11:18:47
Key.space 	 at 11:18:47
'e' 	 at 11:18:53
'e' 	 at 11:18:54
'e' 	 at 11:18:54
'e' 	 at 11:18:54
'e' 	 at 11:18:54
'e' 	 at 11:18:54
'e' 	 at 11:18:56
'e' 	 at 11:18:57
'e' 	 at 11:18:57
'e' 	 at 11:18:57
'e' 	 at 11:18:57
'e' 	 at 11:18:57
'e' 	 at 11:19:01
'e' 	 at 11:19:01
'e' 	 at 11:19:01
'4' 	 at 11:19:03
Key.space 	 at 11:19:04
Key.space 	 at 11:19:04
Key.space 	 at 11:19:04
Key.space 	 at 11:19:05
'q' 	 at 11:19:11
'q' 	 at 11:19:12
'q' 	 at 11:19:12
'e' 	 at 11:19:19
'e' 	 at 11:19:19
'e' 	 at 11:19:19
'e' 	 at 11:19:20
'e' 	 at 11:19:25
'e' 	 at 11:19:25
'e' 	 at 11:19:25
'e' 	 at 11:19:26
'e' 	 at 11:19:26
'q' 	 at 11:19:29
'q' 	 at 11:19:29
'q' 	 at 11:19:29
'q' 	 at 11:19:29
'q' 	 at 11:19:29
'q' 	 at 11:19:30
'q' 	 at 11:19:37
'q' 	 at 11:19:37
'q' 	 at 11:19:38
'q' 	 at 11:19:38
'q' 	 at 11:19:38
'e' 	 at 11:19:40
'e' 	 at 11:19:41
'e' 	 at 11:19:41
'e' 	 at 11:19:41
